Darts,Threads,Hits,Pi,Time
6400000,16,5026335 ,3.141459,0.082000 
64000000,16,50260736 ,3.141296,0.510000 
640000000,16,502653452 ,3.141584,3.429000 
6400000,32,5027340 ,3.142087,0.087000 
64000000,32,50265553 ,3.141597,0.341000 
640000000,32,502665421 ,3.141659,3.248000 
6400000,64,5026085 ,3.141303,0.065000 
64000000,64,50267582 ,3.141724,0.362000 
640000000,64,502663760 ,3.141649,3.266000 
