Darts,Threads,Hits,Pi,Time
6400000,16,5026414 ,3.141509,0.060000 
64000000,16,50270543 ,3.141909,0.339000 
640000000,16,502665551 ,3.141660,3.261000 
6400000,32,5026249 ,3.141406,0.078000 
64000000,32,50261487 ,3.141343,0.346000 
640000000,32,502647595 ,3.141547,3.248000 
6400000,64,5028487 ,3.142804,0.064000 
64000000,64,50269802 ,3.141863,0.360000 
640000000,64,502660772 ,3.141630,3.264000 
